pageid,title,wikidata,label
1639573,Kakha Kaladze,Q192031,Kakha Kaladze
15173078,Salome Zourabichvili,Q272416,Salome Zurabishvili
31455790,Konstantine Gabashvili,Q6322997,Konstantine Gabashvili
31987642,Ketevan Bagration of Mukhrani,Q4074835,Ketevan Bagration of Mukhrani
37868165,Irakli Garibashvili,Q6066533,Irakli Gharibashvili
38948878,Thea Tsulukiani,Q13589522,Tea Tsulukiani
44372254,Tamar Beruchashvili,Q18533321,Tamar Beruchashvili
51081714,Zurab Pataradze,Q28748049,Zurab Pataradze
55017388,Koba Gvenetadze,Q25433264,Koba Gvenetadze
58178310,David Zalkaliani,Q56152039,David Zakaliani
65248654,Vakhtang Gomelauri,Q20557144,Vakhtang Gomelauri
67426139,Shalva Papuashvili,Q106528743,Shalva Papuashvili
67469169,Lasha Khutsishvili,Q106522763,Lasha Khutsishvili
68043777,Grigol Liluashvili,Q105729181,Grigol Liluashvili
70415905,Juansher Burchuladze,Q106094877,Juansher Burchuladze
70483308,Ilia Darchiashvili,Q111487495,Ilia Darchiashvili
