position,person,personID,start,end
Member of the Parliament of Georgia,Revaz Adamia,Q16334103,1992-11-04,2002-07-04
Member of the Parliament of Georgia,Vakhtang Abashidze,Q16369086,1995,2008
Member of the Parliament of Georgia,Zaza Okuashvili,Q42154915,1999,2004
Member of the Parliament of Georgia,Eldar Nadiradze,Q78839111,1999,2003
Member of the Parliament of Georgia,Solomon Pavliashvili,Q12869388,1999-11-20,2001-12-18
Member of the Parliament of Georgia,Zurab Nasaraya,Q61138132,2002,2004
Member of the Parliament of Georgia,Levan Berdzenishvili,Q12866195,2004,2008
Member of the Parliament of Georgia,Zurab Davitashvili,Q97464155,2004,2008
Member of the Parliament of Georgia,Giga Bokeria,Q1523607,2004-04-22,2008-06-07
Member of the Parliament of Georgia,David Bakradze,Q673705,2004-04-22,2007-09-07
Member of the Parliament of Georgia,Khatuna Gogorishvili,Q97360535,2004-04-22,
Member of the Parliament of Georgia,Enzel Mkoian,Q12864149,2008-06-07,2012-10-21
Member of the Parliament of Georgia,Pavle Kublashvili,Q12867951,2008-06-07,2012-10-21
Member of the Parliament of Georgia,Anzor Bolkvadze,Q16364846,2008-06-07,2012-10-21
Member of the Parliament of Georgia,David Bakradze,Q673705,2008-06-07,
Member of the Parliament of Georgia,Levan Berdzenishvili,Q12866195,2012,2016
Member of the Parliament of Georgia,Tedo Japaridze,Q4570471,2012,2016
Member of the Parliament of Georgia,Ani Mirotadze,Q63981714,2012,2016
Member of the Parliament of Georgia,Zurab Zviadauri,Q709218,2012,
Member of the Parliament of Georgia,David Usupashvili,Q1178707,2012-10-21,2016-11-18
Member of the Parliament of Georgia,Gogi Ochiauri,Q12863286,2012-10-21,2016-10-01
Member of the Parliament of Georgia,Enzel Mkoian,Q12864149,2012-10-21,2016-10-01
Member of the Parliament of Georgia,Pavle Kublashvili,Q12867951,2012-10-21,2016-10-01
Member of the Parliament of Georgia,Tea Tsulukiani,Q13589522,2012-10-21,2012-11-07
Member of the Parliament of Georgia,Anzor Bolkvadze,Q16364846,2012-10-21,2016-10-01
Member of the Parliament of Georgia,Kakha Kaladze,Q192031,2012-10-21,2012-11-07
Member of the Parliament of Georgia,George Gachechiladze,Q4352105,2012-10-21,2016-10-01
Member of the Parliament of Georgia,Salome Zurabishvili,Q272416,2016,2018
Member of the Parliament of Georgia,Enzel Mkoian,Q12864149,2016-11-18,
Member of the Parliament of Georgia,Giga Bokeria,Q1523607,2016-11-18,
Member of the Parliament of Georgia,Anzor Bolkvadze,Q16364846,2016-11-18,
Member of the Parliament of Georgia,Kakha Kaladze,Q192031,2016-11-18,2016-11-30
Member of the Parliament of Georgia,Irakli Kobakhidze,Q27885302,2016-11-18,
Member of the Parliament of Georgia,Kakha Kuchava,Q31355070,2016-11-18,
Member of the Parliament of Georgia,George Gachechiladze,Q4352105,2016-11-18,
Member of the Parliament of Georgia,Nika Melia,Q62572609,2016-11-18,
Member of the Parliament of Georgia,Archil Talakvadze,Q64827520,2016-11-18,
Member of the Parliament of Georgia,Beka Odisharia,Q94691260,2016-11-18,
