id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q843405,President of Georgia,Q230,Q230,,,1991-04-14,,,,President of Georgia
Q1975365,Prime Minister of Georgia,Q230,Q230,,Q31007560,1991-08-23,,,,Prime Minister of Georgia
Q109623194,Vice Prime Minister of Georgia,Q230,Q230,,,,,,,
Q108377073,Minister of Agriculture,Q230,Q230,,,,,,,
Q108379548,Minister of Corrections,Q230,Q230,,,,,,,
Q108377847,Minister of Culture and Sports,Q230,Q230,,,,,,,
Q109623168,"Minister of Culture, Sports and Youth of Georgia",,Q230,,,,,,,
Q19967450,Minister of Defence of Georgia,Q230,Q230,,,,,,,
Q108370218,Minister of Economy and Sustainable Development,Q230,Q230,,,,,,,
Q108376607,Minister of Education and Science,Q230,Q230,,,,,,,
Q61666950,Minister of Energy,Q230,Q230,,,,,,,
Q108377218,Minister of the Environment,Q230,Q230,,,,,,,
Q110915464,Minister of Environmental Protection and Agriculture,Q230,Q230,,,,,,,
Q71971342,Minister of Finance of Georgia,Q230,Q230,,,,,,,
Q108368702,Minister of Foreign Affairs of Georgia,Q230,Q230,,,,,,,
Q108376722,Minister of Health of Georgia,Q230,Q230,,,,,,,
Q88039626,Minister of Internal Affairs of Georgia,Q230,Q230,,,,,,,
Q94984555,Minister of Justice,Q230,Q230,,,,,,,
Q108379621,Minister for Reconciliation and Civic Equality,Q230,Q230,,,,,,,
Q108377572,Minister of Regional Development and Infrastructure,Q230,Q230,,,,,,,
Q3652076,Chairperson of the Parliament of Georgia,Q230,Q230,,,,,,,Chairperson of the Parliament of Georgia
Q60524626,Chief of General Staff of Georgian Armed Forces,,,,,,,,,Chief of General Staff (Georgia)
Q109626524,Chief of the State Security Service of Georgia,,,,,,,,,
Q109623456,Governor of the National Bank of Georgia,Q230,,,,,,,,
Q3486648,Mayor of Tbilisi,Q230,,,,,,,,Mayor of Tbilisi
