@@,itemlabel,item,startdate,enddate
---,Otar Patsatsia,Q2920357,1993-08-20,1995-10-05
---,Zurab Zhvania,Q312493,2003-11-27,2004-02-17
+++,Mikheil Saakashvili,Q43330,2005-02-03,2005-02-17
+++,Zurab Noghaideli,Q316238,2005-02-17,2007-11-16
+++,Giorgi Baramidze,Q1010588,2007-11-16,2007-11-22
+++,Lado Gurgenidze,Q337564,2007-11-22,2008-11-01
+++,Grigol Mgaloblishvili,Q372721,2008-11-01,2009-02-06
+++,Nika Gilauri,Q310942,2009-02-06,2012-07-04
+++,Vano Merabishvili,Q380730,2012-07-04,2012-10-25
->,Irakli Gharibashvili->Irakli Garibashvili,Q6066533,2013-11-20,2015-12-30
->,Irakli Gharibashvili->Irakli Garibashvili,Q6066533,2021-02-22,
