item,itemLabel,startDate,endDate,psid
Q1010588,Giorgi Baramidze,2007-11-16,2007-11-22,Q1010588-E50D708D-1DC4-4E39-ACC5-F866CD4DAEBD
Q15277881,Giorgi Kvirikashvili,2015-12-30,2018-06-13,Q15277881-55760f7a-4be0-48e0-90ea-1ac633933b3b
Q2920357,Otar Patsatsia,1993-08-20,1995-10-05,Q2920357-9ebebf2e-4777-a2ce-9a38-afc606e0d88f
Q310942,Nika Gilauri,2009-02-06,2012-07-04,Q310942-2EEAFBB0-5962-40C4-B919-09CAC82152C0
Q312493,Zurab Zhvania,2004-02-17,2005-02-03,Q312493-29B50007-80DB-42B2-97D0-215B139D5811
Q312493,Zurab Zhvania,2003-11-27,2004-02-17,Q312493-FDD53CED-4F09-40FB-A517-66611F0A0803
Q316238,Zurab Noghaideli,2005-02-17,2007-11-16,Q316238-1C42F788-79CF-46BA-A5C9-4194DD653785
Q337564,Lado Gurgenidze,2007-11-22,2008-11-01,Q337564-9540A224-F405-4E2C-A492-6200357715EC
Q372721,Grigol Mgaloblishvili,2008-11-01,2009-02-06,Q372721-B82AEDEF-F4A5-4556-9652-3ED2AA449383
Q380730,Vano Merabishvili,2012-07-04,2012-10-25,Q380730-A828A3BF-6056-423A-AA2E-C7324F945D35
Q43287680,Giorgi Gakharia,2019-09-08,2021-02-18,Q43287680-FB2260AD-F24C-48B5-B186-EFDCA61958B4
Q43330,Mikheil Saakashvili,2005-02-03,2005-02-17,Q43330-0FEB174A-703D-4D60-AF12-0BED3078888C
Q54982996,Mamuka Bakhtadze,2018-06-20,2019-09-02,Q54982996-364a9834-4969-9551-59fe-111c18d03d3e
Q57794,Bidzina Ivanishvili,2012-10-25,2013-11-20,Q57794-85CF82C9-CC00-456E-8FAE-BFE5CF7692E2
Q6066533,Irakli Gharibashvili,2013-11-20,2015-12-30,Q6066533-8fce9a4a-4156-c0b5-362a-1a44cd068ec1
Q6066533,Irakli Gharibashvili,2021-02-22,,Q6066533-93517704-A76C-4FA8-950D-735A1AF8774D
